Symbol,Market Cap,Country,IPO Year,Volume,Sector,Industry
SKX,9340503474,United States,1999,1384783,Consumer Discretionary,Shoe Manufacturing
ITT,9337233000,United States,2011,304761,Industrials,Fluid Controls
CHDN,9317638966,United States,,358978,Consumer Discretionary,Services-Misc. Amusement & Recreation
FBIN,9312113018,United States,,860019,Basic Materials,Forest Products
KEP,9295639835,South Korea,1994,215617,Industrials,Electrical Products
DINO,9200703746,United States,1960,1890688,Energy,Oil & Gas Production
NLY,9191654218,United States,,3170241,Real Estate,Real Estate Investment Trusts
ESLT,9187989500,Israel,,21843,Industrials,Military/Government/Technical
VIPS,9187044339,China,2012,2822369,Consumer Discretionary,Catalog/Specialty Distribution
AAL,9175723362,United States,,34278070,Consumer Discretionary,Air Freight/Delivery Services
BIRK,9158375866,,2023,313617,,
KNX,9148008610,United States,2017,2022027,Industrials,Trucking Freight/Courier Services
PRH,9140520000,United States,2022,43979,Finance,Life Insurance
BSAC,9116081384,Chile,,485326,Finance,Commercial Banks
RGEN,9097826518,United States,1986,524898,Health Care,Medical/Dental Instruments
ALLY,9048911850,United States,2014,2888233,Finance,Major Banks
CET,8975940187,United States,1951,9339,Finance,Finance/Investors Services
IBKR,8962542765,United States,2019,922147,Finance,Investment Bankers/Brokers/Service
AIZ,8944086743,United States,2004,292143,Finance,Property-Casualty Insurers
LSCC,8938717695,United States,,2301527,Technology,Semiconductors
RHI,8865525633,United States,,490853,Consumer Discretionary,Professional Services
PEN,8852848469,United States,2015,256756,Health Care,Medical/Dental Instruments
TTEK,8842840225,United States,1991,151900,Consumer Discretionary,Military/Government/Technical
UNM,8839468677,United States,,2086672,Finance,Accident &Health Insurance
LSXMA,8827401097,United States,,4858880,Industrials,Broadcasting
LSXMK,8827401097,United States,,4207176,Industrials,Broadcasting
LSXMB,8801274863,United States,,716,Industrials,Broadcasting
BJ,8792475916,United States,2018,1123373,Consumer Discretionary,Department/Specialty Retail Stores
BBWI,8764235564,United States,,2593200,Consumer Discretionary,Clothing/Shoe/Accessory Stores
MEDP,8762575653,United States,2016,197578,Health Care,Biotechnology: Commercial Physical & Biological Resarch
RL,8747441183,United States,1997,627401,Consumer Discretionary,Apparel
TIMB,8739104245,Brazil,2020,314962,Telecommunications,Telecommunications Equipment
PRS,8718150000,United States,2018,41890,Finance,Life Insurance
CLF,8713905624,United States,,5158114,Basic Materials,Metal Mining
MTCH,8703406311,United States,,7853050,Technology,Computer Software: Programming Data Processing
MTN,8681449616,United States,1997,288886,Consumer Discretionary,Services-Misc. Amusement & Recreation
CHE,8676491900,United States,,51150,Health Care,Medical/Nursing Services
TTC,8660596272,United States,,900819,Consumer Discretionary,Tools/Hardware
PCTY,8649555907,United States,2014,540640,Technology,Computer Software: Prepackaged Software
PSO,8610840000,United Kingdom,,260239,Consumer Discretionary,Books
BIO,8590830309,United States,1980,377288,Industrials,Biotechnology: Laboratory Analytical Instruments
RRX,8569025785,United States,1976,311518,,
CHWY,8541837691,United States,2019,9404906,Consumer Discretionary,Catalog/Specialty Distribution
AGCO,8533317621,United States,,647031,Industrials,Industrial Machinery/Components
WCC,8533261305,United States,1999,298706,Consumer Discretionary,Telecommunications Equipment
ALV,8523384548,Sweden,,552426,Consumer Discretionary,Auto Parts:O.E.M.
OLED,8484672896,United States,,234731,Technology,Semiconductors
CW,8457810185,United States,,232864,Technology,Industrial Machinery/Components
ACGLO,8429953424,Bermuda,,27657,Finance,Property-Casualty Insurers
PNW,8414157273,United States,,1380759,Utilities,Electric Utilities: Central
STN,8413986467,Canada,,170234,Consumer Discretionary,Military/Government/Technical
PCOR,8411526422,United States,2021,1228417,Technology,Computer Software: Prepackaged Software
ATR,8385796172,United States,,210306,Health Care,Medical/Dental Instruments
NWSA,8374737558,United States,,2397830,Consumer Discretionary,Newspapers/Magazines
MNDY,8374550800,Israel,2021,607298,Technology,Computer Software: Prepackaged Software
CYBR,8325807600,Israel,2014,681461,Technology,Computer Software: Prepackaged Software
CNM,8324650719,United States,2021,2849054,Consumer Discretionary,Durable Goods
TOST,8324603724,United States,2021,6430679,Technology,EDP Services
ROIV,8320586035,United Kingdom,,5696949,Health Care,Biotechnology: Pharmaceutical Preparations
INFA,8203956127,United States,2021,1353043,Technology,EDP Services
WBS,8200911501,United States,,1039001,Finance,Major Banks
ORI,8189832705,United States,,1047500,Finance,Property-Casualty Insurers
EGP,8181952349,United States,,234273,Real Estate,Real Estate Investment Trusts
WWD,8168561860,United States,,516158,Energy,Industrial Machinery/Components
FTI,8134395938,,,7588845,Industrials,Metal Fabrications
SRPT,8120787378,United States,,820544,Health Care,Biotechnology: Pharmaceutical Preparations
X,8116371015,United States,,3497970,Industrials,Steel/Iron Ore
FRT,8107628781,United States,,550888,Real Estate,Real Estate Investment Trusts
COLD,8105834141,United States,2018,2136661,Real Estate,Real Estate Investment Trusts
MSTR,8105792491,United States,1998,709727,Technology,Computer Software: Prepackaged Software
TPX,8079666218,United States,2003,1722788,Consumer Discretionary,Home Furnishings
KRTX,8063793988,United States,2019,272522,Health Care,Biotechnology: Pharmaceutical Preparations
HLI,8046427080,United States,2015,628749,Finance,Investment Managers
GWRE,7997240595,United States,2012,1766580,Technology,Computer Software: Prepackaged Software
CHKEZ,7988852236,United States,,221,Energy,Oil & Gas Production
SEIC,7968950688,United States,1981,576462,Finance,Investment Bankers/Brokers/Service
ONON,7940556800,,2021,2876739,Consumer Discretionary,Shoe Manufacturing
TREX,7911173506,United States,,787499,Basic Materials,Forest Products
IMGN,7910711581,United States,1989,10873025,Health Care,Biotechnology: Pharmaceutical Preparations
GPS,7898750227,United States,,6658853,Consumer Discretionary,Clothing/Shoe/Accessory Stores
CHKEL,7898399292,United States,,97,Energy,Oil & Gas Production
CVNA,7886168483,United States,2017,10353687,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
COKE,7883084975,United States,1972,53382,Consumer Staples,Beverages (Production/Distribution)
FCN,7878896895,United States,1999,153414,Consumer Discretionary,Professional Services
KNSL,7864611570,United States,,150968,Finance,Property-Casualty Insurers
NCLH,7849090032,United States,,9084889,Consumer Discretionary,Marine Transportation
SSD,7830481004,United States,,161935,Consumer Discretionary,Industrial Machinery/Components
JLL,7813380323,United States,,232005,Finance,Real Estate
KVYO,7812469619,,2023,539706,,
TX,7760361856,Luxembourg,,84614,Industrials,Steel/Iron Ore
TAL,7751671362,China,,6930490,Real Estate,Other Consumer Services
BWA,7742725831,United States,,1977143,Consumer Discretionary,Auto Parts:O.E.M.
LEA,7741571658,United States,,364205,Consumer Discretionary,Auto Parts:O.E.M.
RBC,7725266584,United States,2022,108745,Industrials,Metal Fabrications
VOYA,7714961874,United States,2013,553960,Finance,Life Insurance
JAZZ,7707185289,Ireland,2007,593646,Health Care,Biotechnology: Pharmaceutical Preparations
TXRH,7695419148,United States,2004,675137,Consumer Discretionary,Restaurants
TPR,7691496356,United States,,3273861,Consumer Discretionary,Apparel
WSC,7684374870,United States,2015,2362567,Industrials,Misc Corporate Leasing Services
JEF,7670091342,United States,,989560,Finance,Investment Bankers/Brokers/Service
YMM,7664210995,China,2021,1791633,Technology,Computer Software: Prepackaged Software
MUSA,7660156701,United States,2013,191027,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
WEX,7647419441,United States,,209222,Technology,EDP Services
NYT,7633421792,United States,,861071,Consumer Discretionary,Newspapers/Magazines
GGB,7630691186,Brazil,,3879300,Industrials,Steel/Iron Ore
SOFI,7622004600,United States,,25963469,Finance,Diversified Financial Services
UI,7600136344,United States,,102164,Technology,Radio And Television Broadcasting And Communications Equipment
AIU,7598062972,,2018,471,Real Estate,Other Consumer Services
S,7586339361,United States,2021,10707065,Technology,EDP Services
OHI,7582551580,United States,1992,1723066,Real Estate,Real Estate Investment Trusts
AMKR,7564742549,United States,1998,1419206,Technology,Semiconductors
BERY,7560630000,United States,2012,586649,Industrials,Plastic Products
DAR,7517161316,United States,1997,2103035,Consumer Staples,Packaged Foods
BILL,7513465744,United States,2019,1319127,Technology,EDP Services
PRI,7513034867,United States,2010,80903,Finance,Life Insurance
RGLD,7505969291,United States,,312955,Industrials,Precious Metals
GNRC,7502638499,United States,2010,1018864,Consumer Discretionary,Metal Fabrications
DCI,7501274544,United States,,401511,Industrials,Pollution Control Equipment
NFE,7477495377,United States,2019,1269555,Utilities,Oil/Gas Transmission
FHN,7465160787,United States,,5944212,Finance,Major Banks
LNW,7432512231,United States,,638631,Technology,EDP Services
APG,7420113855,United States,2020,955967,Consumer Discretionary,Engineering & Construction
CERE,7402217883,United States,2020,5434578,Health Care,Biotechnology: Pharmaceutical Preparations
FUTU,7394736486,Hong Kong,2019,1309592,Finance,Investment Bankers/Brokers/Service
NNN,7383365861,United States,,1958504,Real Estate,Real Estate Investment Trusts
PAC,7342186771,Mexico,2006,110891,Consumer Discretionary,Aerospace
MIDD,7326484693,United States,,261676,Industrials,Industrial Machinery/Components
BWXT,7321938168,United States,,460520,Industrials,Industrial Machinery/Components
WING,7319902842,United States,2015,691553,Consumer Discretionary,Restaurants
APLS,7319149103,United States,2017,1445769,Health Care,Biotechnology: Pharmaceutical Preparations
BRBR,7318434850,United States,2022,1169922,Consumer Staples,Beverages (Production/Distribution)
NOV,7303406506,United States,,2242026,Industrials,Metal Fabrications
CCCS,7282068760,United States,,1632426,Technology,Computer Software: Prepackaged Software
ACGLN,7280583945,Bermuda,,37023,Finance,Property-Casualty Insurers
AXTA,7271543609,United States,2014,2725701,Consumer Discretionary,Paints/Coatings
CACI,7265979811,United States,,88082,Technology,EDP Services
GNTX,7256488106,United States,,977482,Consumer Discretionary,Auto Parts:O.E.M.
RMBS,7243972659,United States,1997,1066925,Technology,Semiconductors
THC,7236595520,United States,,733083,Health Care,Hospital/Nursing Management
ELF,7234961765,United States,2016,1261523,Consumer Discretionary,Package Goods/Cosmetics
GJS,7223391078,United States,,5145,Finance,Investment Bankers/Brokers/Service
DSGX,7213766031,Canada,,185236,,
KBR,7209234106,United States,2006,1714053,Industrials,Military/Government/Technical
ONTO,7208525442,United States,,503574,Industrials,Industrial Machinery/Components
FSV,7203259672,Canada,,30395,Finance,Real Estate
LAD,7185626567,United States,,235628,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
WF,7137397466,South Korea,,27548,Finance,Commercial Banks
NYCB,7130957675,United States,,9253725,Finance,Banks
ONBPO,7128247560,United States,,4361,Finance,Major Banks
ONBPP,7116542720,United States,,3141,Finance,Major Banks
IONS,7096131006,United States,,970920,Health Care,Biotechnology: Pharmaceutical Preparations
CMSC,7086937042,United States,2018,13265,Utilities,Power Generation
EXEL,7080880553,United States,2000,2155173,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
OGE,7074149696,United States,,1277807,Utilities,Electric Utilities: Central
FIX,7071533370,United States,1997,403903,Industrials,Engineering & Construction
AU,7057603975,South Africa,,2002298,Basic Materials,Precious Metals
CMSD,7037337236,United States,2019,37677,Utilities,Power Generation
NTRA,7031276782,United States,2015,1103733,Health Care,Medical Specialities
QLYS,7030805734,United States,2012,291318,Technology,Computer Software: Prepackaged Software
ARMK,7026733099,United States,2013,2356993,Consumer Discretionary,Restaurants
RRC,7017145969,United States,,3080202,Energy,Oil & Gas Production
CAR,7011726223,United States,,514670,Consumer Discretionary,Rental/Leasing Companies
GPK,7011671137,United States,,2061916,Consumer Discretionary,Containers/Packaging
UFPI,7009541809,United States,1993,240952,Basic Materials,Forest Products
ACHC,7000152693,United States,,657748,Health Care,Medical Specialities
IVZ,6977084272,United States,,6578917,Finance,Investment Managers
SUZ,6976475868,Brazil,2018,977103,Basic Materials,Paper
INGR,6972334453,United States,,226470,Consumer Staples,Packaged Foods
GRFS,6971806767,Spain,,878859,Health Care,Biotechnology: Pharmaceutical Preparations
ASR,6936900000,Mexico,,27127,Consumer Discretionary,Aerospace
VFC,6906569255,United States,,4945269,Consumer Discretionary,Apparel
CFLT,6899480498,United States,2021,4706546,Technology,EDP Services
CGABL,6898412790,United States,,30991,Finance,Investment Managers
KGC,6887391390,Canada,2001,12081521,,
GXO,6862508758,United States,2021,533080,Consumer Discretionary,Transportation Services
FMC,6818073175,United States,,1345920,Industrials,Major Chemicals
BRX,6805502360,United States,2013,1876849,Real Estate,Real Estate Investment Trusts
KT,6800493528,South Korea,,579523,Telecommunications,Telecommunications Equipment
CIB,6788094053,Colombia,,233312,Finance,Commercial Banks
YPF,6787684567,Argentina,1993,3683055,Energy,Integrated oil Companies
XRAY,6762583681,United States,1987,3145798,Health Care,Medical/Dental Instruments
OMAB,6752172379,Mexico,2006,114376,Consumer Discretionary,Aerospace
SPSC,6749791039,United States,2010,82955,Technology,EDP Services
CTLT,6737919446,United States,2014,1878567,Health Care,Biotechnology: Pharmaceutical Preparations
SWN,6718924617,United States,,19300908,Energy,Oil & Gas Production
CMSA,6716397312,United States,2018,12730,Utilities,Power Generation
HAS,6712021742,United States,,3715506,Consumer Discretionary,Recreational Games/Products/Toys
XPEV,6703499652,China,2020,6995244,Consumer Discretionary,Auto Manufacturing
HRB,6688477473,United States,,1158888,Consumer Discretionary,Other Consumer Services
PSN,6685620844,United States,2019,651544,Technology,EDP Services
SAIC,6669732768,United States,,314579,Technology,EDP Services
STAG,6665467812,United States,2011,775311,Real Estate,Real Estate Investment Trusts
MSA,6655778087,United States,2000,119196,Health Care,Industrial Specialties
EXP,6651185388,United States,,179040,Industrials,Building Materials
BZ,6637720594,China,2021,2421557,Technology,Computer Software: Programming Data Processing
PVH,6635865404,United States,,1145272,Consumer Discretionary,Apparel
SITE,6628020808,United States,2016,229661,Consumer Discretionary,Professional and commerical equipment
SF,6622598852,United States,,619739,Finance,Investment Bankers/Brokers/Service
FR,6616394149,United States,1994,813041,Real Estate,Real Estate Investment Trusts
EHC,6614890128,United States,,598603,Health Care,Hospital/Nursing Management
WTS,6611927008,United States,1986,114947,Industrials,Metal Fabrications
OSK,6610688613,United States,,370090,Consumer Discretionary,Auto Manufacturing
GMED,6596160197,United States,2012,1029745,Health Care,Medical/Dental Instruments
CART,6593481304,United States,2023,1360063,,
FLR,6578182225,United States,,1440283,Industrials,Military/Government/Technical
SN,6571110188,United States,2023,586755,,
MAT,6566594406,United States,,6398607,Consumer Discretionary,Recreational Games/Products/Toys
LSTR,6561645634,United States,1993,140249,Industrials,Trucking Freight/Courier Services
LBTYK,6560390201,United Kingdom,,2203397,Telecommunications,Cable & Other Pay Television Services
ARW,6553828873,United States,,407943,Technology,Electronic Components
CMA,6529022922,United States,,1719251,Finance,Major Banks
SWAV,6525928173,United States,2019,532100,Health Care,Medical/Dental Instruments
CGNX,6524185287,United States,1989,1134336,Industrials,Industrial Machinery/Components
IEP,6498902811,United States,,1327256,Consumer Discretionary,Auto Parts:O.E.M.
CFR,6494385066,United States,,326288,Finance,Major Banks
AIT,6493851908,United States,,149089,Consumer Discretionary,Industrial Specialties
WH,6487621127,United States,2018,1364058,Consumer Discretionary,Hotels/Resorts
APPF,6466504369,United States,2015,117387,Technology,Computer Software: Prepackaged Software
CSAN,6460890800,Brazil,2021,121576,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
CAE,6454526916,Canada,,248701,Miscellaneous,Industrial Machinery/Components
CIEN,6442969831,United States,1997,2811369,Utilities,Telecommunications Equipment
CHRD,6431592022,United States,,316120,Energy,Oil & Gas Production
STWD,6430530765,United States,2009,2484087,Real Estate,Real Estate Investment Trusts
CBSH,6392153286,United States,,341735,Finance,Major Banks
RHP,6385226883,United States,,326763,Real Estate,Real Estate Investment Trusts
CROX,6354650085,United States,2006,921717,Consumer Discretionary,Shoe Manufacturing
LBTYB,6343027875,United Kingdom,,157,Telecommunications,Cable & Other Pay Television Services
COHR,6334990790,United States,,1766233,Technology,Electronic Components
ICL,6308100000,Israel,2014,689265,Industrials,Agricultural Chemicals
IMVT,6307260148,United States,2019,2959212,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASND,6297611386,Denmark,2015,1123224,Health Care,Biotechnology: Pharmaceutical Preparations
FAF,6285803456,United States,,475516,Finance,Specialty Insurers
MTSI,6275573026,United States,2012,355409,Technology,Semiconductors
FRSH,6271945943,United States,2021,2646647,Technology,EDP Services
LBTYA,6267939072,United Kingdom,,1923131,Telecommunications,Cable & Other Pay Television Services
ELAN,6253608054,United States,2018,3846623,Health Care,Biotechnology: Pharmaceutical Preparations
G,6238772402,Bermuda,2007,1593566,Consumer Discretionary,Professional Services
CNXC,6237875697,United States,,724911,Technology,Computer Software: Prepackaged Software
FN,6230378838,Cayman Islands,2010,198323,Utilities,Telecommunications Equipment
SIGI,6217591254,United States,,196845,Finance,Property-Casualty Insurers
PLNT,6214357296,United States,2015,2147061,Consumer Discretionary,Hotels/Resorts
MTDR,6205737774,United States,2012,1239762,Energy,Oil & Gas Production
ITCI,6197735314,United States,,1709241,Health Care,Biotechnology: Pharmaceutical Preparations
CIVI,6185322948,United States,2017,1431666,Energy,Oil & Gas Production
ZI,6181948705,United States,2020,6937491,Technology,Computer Software: Prepackaged Software
MUR,6174291446,United States,,1692240,Energy,Oil & Gas Production
PNFP,6166503664,United States,,292652,Finance,Major Banks
ENSG,6158374643,United States,2007,221908,Health Care,Hospital/Nursing Management
RLI,6143966323,United States,,143257,Finance,Property-Casualty Insurers
W,6140331857,United States,2014,5741864,Consumer Discretionary,Catalog/Specialty Distribution
WFRD,6138013620,United States,,676726,Industrials,Metal Fabrications
LFUS,6133090152,United States,,103457,Energy,Electrical Products
HXL,6130872220,United States,,603082,Industrials,Major Chemicals
AR,6122081280,United States,2013,7138181,Energy,Oil & Gas Production
DDS,6117087612,United States,,162683,Consumer Discretionary,Department/Specialty Retail Stores
WFG,6115448782,,2021,93345,,
WIX,6111559200,Israel,2013,642792,Technology,Computer Software: Programming Data Processing
CR,6111003115,United States,2023,201724,Industrials,Office Equipment/Supplies/Services
PPC,6109180168,United States,,742029,Consumer Staples,Meat/Poultry/Fish
WAL,6108632627,United States,2005,1207571,Finance,Major Banks
MNSO,6100461950,China,2020,1536390,Consumer Discretionary,Department/Specialty Retail Stores
TNET,6096854841,United States,2014,208579,Consumer Discretionary,Business Services
ALTR,6055220246,United States,2017,175950,Technology,Computer Software: Prepackaged Software
AM,6034789540,United States,2017,2651048,Utilities,Natural Gas Distribution
WHR,6025603258,United States,,750840,Consumer Discretionary,Consumer Electronics/Appliances
SSB,6022847128,United States,,214631,Finance,Major Banks
AGNC,6006397438,United States,2008,11080826,Real Estate,Real Estate Investment Trusts
HQY,5996641954,United States,2014,653563,Consumer Discretionary,Business Services
SMAR,5993933993,United States,2018,1639455,Technology,EDP Services
LEVI,5980851187,United States,2019,1574525,Consumer Discretionary,Apparel
ADT,5973401901,United States,2018,1815105,Consumer Discretionary,Diversified Commercial Services
ADC,5966850401,United States,,726513,Real Estate,Real Estate Investment Trusts
HR,5941635617,United States,,2257584,Real Estate,Real Estate Investment Trusts
NE,5928502730,United States,2022,995728,Consumer Discretionary,Other Specialty Stores
BYD,5919679820,United States,1993,749691,Consumer Discretionary,Hotels/Resorts
FG,5907131787,United States,2022,177569,Finance,Life Insurance
GIL,5905186660,Canada,2000,2350347,Consumer Discretionary,Apparel
SRC,5901991664,United States,2013,865976,Real Estate,Building operators
AYI,5881627299,United States,,228242,Consumer Discretionary,Building Products
CACC,5880944143,United States,1992,58660,Finance,Finance: Consumer Services
OLN,5879929664,United States,,1201021,Industrials,Major Chemicals
PB,5867493270,United States,,312837,Finance,Major Banks
EVR,5866379919,United States,2006,301261,Finance,Investment Managers
OBDC,5853787677,,2019,2022354,Finance,Diversified Financial Services
BBIO,5824416901,United States,2019,700498,Health Care,Biotechnology: Pharmaceutical Preparations
BC,5814668756,United States,,516820,Industrials,Industrial Machinery/Components
MHK,5800170768,United States,,602908,Consumer Discretionary,Home Furnishings
DV,5793124652,United States,2021,1019285,Technology,Computer Software: Prepackaged Software
SSL,5766008508,South Africa,,1403454,Energy,Oil & Gas Production
MKSI,5758907204,United States,1999,424771,Industrials,Industrial Machinery/Components
FIVN,5756064133,United States,2014,746449,Technology,EDP Services
THO,5750921895,United States,,299635,Industrials,Homebuilding
TXG,5749666353,United States,2019,808757,Industrials,Biotechnology: Laboratory Analytical Instruments
TELZ,5745323394,United States,,30672,Energy,Oil & Gas Production
CPRI,5738977968,Hong Kong,2011,1329055,Consumer Discretionary,Apparel
GLBE,5732892900,Israel,2021,627749,Technology,Computer Software: Prepackaged Software
MSM,5702395042,United States,1995,381496,Industrials,Industrial Machinery/Components
NSIT,5699316583,United States,1995,588952,Consumer Discretionary,Catalog/Specialty Distribution
AN,5693490799,United States,,443513,Consumer Discretionary,Other Specialty Stores
HLNE,5673706694,United States,2017,195536,Finance,Investment Managers
MASI,5666696615,United States,2007,1065045,Health Care,Medical/Dental Instruments
ZION,5648913706,United States,,1570335,Finance,Major Banks
MTH,5636248965,United States,,204615,Consumer Discretionary,Homebuilding
UGP,5586642318,Brazil,,836160,Utilities,Oil/Gas Transmission
REYN,5569444806,United States,2020,295282,Industrials,Office Equipment/Supplies/Services
CHH,5557522198,United States,,693361,Consumer Discretionary,Hotels/Resorts
NOVT,5552039765,United States,,149694,,
FOUR,5549484212,United States,2020,716386,Consumer Discretionary,Business Services
CHX,5532320000,United States,,1524798,Industrials,Industrial Machinery/Components
FSK,5522910059,United States,2014,2044471,Finance,Investment Managers
WTFC,5510668495,United States,,318519,Finance,Major Banks
ENLC,5500491145,United States,,4316742,Utilities,Natural Gas Distribution
BPOP,5499605014,United States,,358879,Finance,Major Banks
LYFT,5490074393,United States,2019,21473536,Technology,EDP Services
FYBR,5486010480,United States,,1121173,Consumer Discretionary,Telecommunications Equipment
IGT,5460928900,United States,2015,896288,Consumer Discretionary,Services-Misc. Amusement & Recreation
PCVX,5452318986,United States,2020,544094,Health Care,Biotechnology: Pharmaceutical Preparations
AAON,5436905830,United States,,467741,Industrials,Industrial Machinery/Components
ARBKL,5422843932,United Kingdom,,13260,Technology,EDP Services
OPCH,5414880577,United States,,1758562,Health Care,Medical/Nursing Services
CMC,5388159193,United States,,738945,Industrials,Steel/Iron Ore
OMF,5376500830,United States,2013,763012,Finance,Finance: Consumer Services
ESNT,5358283095,Bermuda,2013,338657,Finance,Property-Casualty Insurers
BRZE,5346562341,United States,2021,678565,Technology,Computer Software: Prepackaged Software
SUN,5343307245,United States,2012,522462,Energy,Integrated oil Companies
CLVT,5337939971,United Kingdom,2019,3647498,Technology,EDP Services
MTZ,5331595702,United States,,1033954,Industrials,Water Sewer Pipeline Comm & Power Line Construction
VNOM,5324955317,United States,2014,974514,Energy,Oil & Gas Production
HALO,5315627946,United States,,718099,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
POST,5301526455,United States,2012,856976,Consumer Staples,Packaged Foods
VNT,5287266831,United States,2020,670413,Industrials,Industrial Machinery/Components
ALGM,5275707927,United States,2020,1042133,Technology,Semiconductors
SON,5267113692,United States,,320784,Consumer Discretionary,Containers/Packaging
INSP,5257667577,United States,2018,1499163,Health Care,Medical/Dental Instruments
DTM,5253889918,United States,2021,1129992,Utilities,Oil & Gas Production
BFAM,5245605435,United States,2013,240248,Consumer Discretionary,Other Consumer Services
GOL,5232844121,Brazil,2004,845965,Consumer Discretionary,Air Freight/Delivery Services
NEU,5228166719,United States,,33961,Industrials,Major Chemicals
PAAS,5226069600,Canada,,2889211,,
BLCO,5224242400,,2022,747268,,
M,5221096803,United States,,27025144,Consumer Discretionary,Department/Specialty Retail Stores
TKR,5216570072,United States,,344884,Industrials,Metal Fabrications
GTLS,5214720994,United States,2006,811579,Industrials,Metal Fabrications
AZEK,5213789279,United States,2020,1551597,Industrials,Plastic Products
AGI,5207614499,Canada,2015,3608909,Basic Materials,Precious Metals
MMS,5204948588,United States,1997,295125,Consumer Discretionary,Business Services
WK,5179963866,United States,2014,307589,Technology,Computer Software: Prepackaged Software
ATI,5175807491,United States,,1157990,Industrials,Steel/Iron Ore
BROS,5175311520,United States,2021,873853,Consumer Discretionary,Restaurants
LNTH,5171615943,United States,2015,855663,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
BPMC,5167125520,United States,2015,1255889,Health Care,Biotechnology: Pharmaceutical Preparations
FCFS,5161698370,United States,1991,226562,Consumer Discretionary,Other Specialty Stores
BOKF,5148123456,United States,,149826,Finance,Major Banks
SNV,5143327271,United States,,1042674,Finance,Major Banks
CIGI,5141608396,Canada,,58007,Finance,Real Estate
ATKR,5134596966,United States,2016,379289,Miscellaneous,Industrial Machinery/Components
BECN,5108190085,United States,2004,639076,Consumer Discretionary,RETAIL: Building Materials
COLB,5105935241,United States,1992,1159775,Finance,Major Banks
ST,5105204319,Netherlands,2010,1350128,Industrials,Industrial Machinery/Components
ESI,5100824552,United States,2014,1085350,Industrials,Major Chemicals
TMHC,5089837198,United States,2013,909231,Consumer Discretionary,Homebuilding
CADE,5089647131,United States,,1434826,Finance,Major Banks
TRNO,5088999938,United States,2010,452342,Finance,Real Estate
RITM,5088244062,United States,,3036425,Real Estate,Real Estate Investment Trusts
MTG,5077572320,United States,1991,1960677,Finance,Property-Casualty Insurers
FLS,5069901502,United States,,943528,Industrials,Fluid Controls
ZWS,5051252406,United States,2012,907879,Industrials,Industrial Machinery/Components
VNO,5018784706,United States,,4461745,Real Estate,Real Estate Investment Trusts
ALSN,5004879942,United States,2012,484841,Consumer Discretionary,Auto Parts:O.E.M.
AGL,5002424184,United States,2021,3316886,Health Care,Managed Health Care
VLY,4980380815,United States,,2283100,Finance,Major Banks
CWST,4980136164,United States,1997,291940,Utilities,Environmental Services
IDA,4971934731,United States,,221000,Utilities,Electric Utilities: Central
CWEN,4963079888,United States,2015,925035,Utilities,Electric Utilities: Central
ESAB,4960911936,United States,2022,186147,Industrials,Office Equipment/Supplies/Services
DRS,4950922051,Israel,,668380,Industrials,Military/Government/Technical
PHI,4945516690,Philippines,,21754,Telecommunications,Telecommunications Equipment
PBF,4929593907,United States,2012,2393527,Energy,Integrated oil Companies
RRR,4921731674,United States,2016,405327,Consumer Discretionary,Hotels/Resorts
KNTK,4916076194,United States,2022,2901062,Utilities,Natural Gas Distribution
TENB,4911267102,United States,2018,668760,Technology,EDP Services
IRDM,4898289885,United States,,680538,Telecommunications,Telecommunications Equipment
NXST,4883691133,United States,2003,298219,Industrials,Broadcasting
MMYT,4874572625,India,2010,677318,Consumer Discretionary,Transportation Services
VRNS,4854948264,United States,2014,1617212,Technology,Computer Software: Prepackaged Software
ATCOL,4852735280,United Kingdom,,1656,Basic Materials,Precious Metals
BILI,4845437304,China,2018,3351524,Technology,EDP Services
MLI,4829541101,United States,,490061,Industrials,Metal Fabrications
COLM,4816418731,United States,1998,309739,Consumer Discretionary,Apparel
EXLS,4805849430,United States,2006,598474,Consumer Discretionary,Business Services
FRHC,4800775100,Kazakhstan,,25990,Finance,Investment Bankers/Brokers/Service
FIZZ,4800387144,United States,,241372,Consumer Staples,Beverages (Production/Distribution)
PII,4799050301,United States,,1333907,Consumer Discretionary,Recreational Games/Products/Toys
CIG,4798988100,Brazil,,1597616,Utilities,Electric Utilities: Central
HOMB,4798124011,United States,2006,878808,Finance,Major Banks
KRG,4795807362,United States,2004,1262515,Real Estate,Real Estate Investment Trusts
AIRC,4793432306,United States,2020,870412,Real Estate,Real Estate Investment Trusts
AMG,4784936253,United States,,211083,Finance,Investment Managers
SFM,4784529382,United States,2013,1496477,Consumer Staples,Food Chains
ALK,4777660303,United States,,4301067,Consumer Discretionary,Air Freight/Delivery Services
SEE,4773597043,United States,,1941260,Industrials,Major Chemicals
AXS,4767566491,Bermuda,2003,468747,Finance,Property-Casualty Insurers
UBSI,4738847487,United States,,667151,Finance,Major Banks
R,4734945220,United States,,198836,Consumer Discretionary,Rental/Leasing Companies
